genres,id,keywords,original_language,production_companies,title,cast,index
  Action  Adventure  Science Fiction,100402,  washington d.c.  future  shield  marvel comic  superhero  based on comic book  captain america  aftercreditsstinger  duringcreditsstinger  marvel cinematic universe  3d  political thriller,en, Marvel Studios,Captain America: The Winter Soldier,  Chris Evans  Samuel L. Jackson  Scarlett Johansson  Robert Redford  Sebastian Stan,84
  Comedy  Adventure  Fantasy  Animation  Family,10192,  ogre  3d,en, DreamWorks Animation,Shrek Forever After,  Mike Myers  Eddie Murphy  Cameron Diaz  Antonio Banderas  Julie Andrews,85
  Adventure  Family  Mystery  Science Fiction,158852,  inventor  apocalypse  destiny  imax  dreamer  futuristic car  futuristic city,en, Walt Disney Pictures  Babieka  A113,Tomorrowland,  Britt Robertson  George Clooney  Raffey Cassidy  Thomas Robinson  Hugh Laurie,86
  Adventure  Family  Animation  Action  Comedy,177572,  brother brother relationship  hero  talent  revenge  best friend  another dimension  robot  boy genius  hate  aftercreditsstinger  moral dilemma  3d  teen superheroes  dead brother,en, Walt Disney Pictures  Walt Disney Animation Studios,Big Hero 6,  Scott Adsit  Ryan Potter  Daniel Henney  T.J. Miller  Jamie Chung,87
  Family  Animation  Comedy  Adventure,82690,  support group  product placement  bullying  racing  arcade  medal  self esteem  curiosity  precocious child  aftercreditsstinger  duringcreditsstinger  first person shooter  glitch  carefree  video gamer  q*bert  interrupted wedding  social reject,en, Walt Disney Animation Studios,Wreck-It Ralph,  John C. Reilly  Sarah Silverman  Jack McBrayer  Jane Lynch  Alan Tudyk,88
  Adventure  Animation  Family  Fantasy,5255,  santa claus  nerd  faith  gift  bell  beard  north pole  chute  trestle  ticket  christmas,en, Golden Mean  Playtone  ImageMovers,The Polar Express,  Tom Hanks  Michael Jeter  Nona Gaye  Peter Scolari  Eddie Deezen,89
  Action  Adventure  Science Fiction,47933,  alternate history  alien invasion,en, Twentieth Century Fox Film Corporation  Centropolis Entertainment  TSG Entertainment  Stereo D,Independence Day: Resurgence,  Liam Hemsworth  Jeff Goldblum  Bill Pullman  Maika Monroe  Sela Ward,90
  Fantasy  Adventure  Animation  Family,10191,  flying  blacksmith  arena  island  night  ship  training  village  forest  viking  friendship  ignorance  flight  nest  dragon  battle  combat  well  warrior,en, DreamWorks Animation  Vertigo Entertainment  Mad Hatter Entertainment,How to Train Your Dragon,  Jay Baruchel  Gerard Butler  Craig Ferguson  America Ferrera  Jonah Hill,91
  Action  Thriller  Science Fiction,296,  saving the world  artificial intelligence  man vs machine  cyborg  killer robot  sun glasses  leather jacket  nanotechnology  rocket launcher  firemen  veterinarian  fire engine  dystopia  psychiatrist,en, Columbia Pictures  Intermedia Films  Warner Bros.  C-2 Pictures  IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG  Mostow/Lieberman Productions,Terminator 3: Rise of the Machines,  Arnold Schwarzenegger  Nick Stahl  Claire Danes  Kristanna Loken  David Andrews,92
  Action  Science Fiction  Adventure,118340,  marvel comic  spaceship  space  outer space  orphan  adventurer  aftercreditsstinger  duringcreditsstinger  marvel cinematic universe,en, Marvel Studios  Moving Picture Company (MPC)  Bulletproof Cupid  Revolution Sun Studios,Guardians of the Galaxy,  Chris Pratt  Zoe Saldana  Dave Bautista  Vin Diesel  Bradley Cooper,93
  Adventure  Drama  Science Fiction,157336,  saving the world  artificial intelligence  father son relationship  single parent  nasa  expedition  wormhole  space travel  famine  black hole  dystopia  race against time  quantum mechanics  spaceship  space  rescue  family relationships  farmhouse  robot  astronaut  scientist  father daughter relationship  single father  farmer  space station  imax  astrophysics  zero gravity  courage  time paradox  relativity,en, Paramount Pictures  Legendary Pictures  Warner Bros.  Syncopy  Lynda Obst Productions,Interstellar,  Matthew McConaughey  Jessica Chastain  Anne Hathaway  Michael Caine  Casey Affleck,94
  Action  Thriller  Science Fiction  Mystery  Adventure,27205,  loss of lover  dream  kidnapping  sleep  subconsciousness  heist  redemption  female hero,en, Legendary Pictures  Warner Bros.  Syncopy,Inception,  Leonardo DiCaprio  Joseph Gordon-Levitt  Ellen Page  Tom Hardy  Ken Watanabe,95
  Action  Adventure  Drama  Horror  Science Fiction,315011,  monster  godzilla  giant monster  destruction  kaiju  toyko,ja, Cine Bazar  Toho Pictures,Shin Godzilla,  Hiroki Hasegawa  Yutaka Takenouchi  Satomi Ishihara  Kengo Kora  Matsuo Satoru,96
  Adventure  Fantasy  Action,49051,  riddle  elves  dwarves  orcs  middle-earth (tolkien)  hobbit  mountains  wizard  journey  ring  goblin  courage  giant  tunnel  underground lake  buried treasure  climbing a tree  invisibility  ancient  gnomes,en, WingNut Films  New Line Cinema  Warner Bros. Pictures  Metro-Goldwyn-Mayer (MGM),The Hobbit: An Unexpected Journey,  Ian McKellen  Martin Freeman  Richard Armitage  Andy Serkis  Cate Blanchett,97
  Action  Crime  Thriller,9799,  street gang  car race  undercover  auto-tuning  los angeles  car  automobile racing  aftercreditsstinger  duringcreditsstinger,en, Universal Pictures  Original Film  Ardustry Entertainment  Mediastream Film GmbH & Co. Productions KG,The Fast and the Furious,  Paul Walker  Vin Diesel  Michelle Rodriguez  Jordana Brewster  Rick Yune,98
  Fantasy  Drama  Thriller  Mystery  Romance,4922,  diary  navy  funeral  tea  travel  hospital,en, Paramount Pictures  Warner Bros.  Kennedy/Marshall Company  id: 7383}],The Curious Case of Benjamin Button,  Cate Blanchett  Brad Pitt  Tilda Swinton  Julia Ormond  Elle Fanning,99
  Action  Science Fiction  Adventure,49538,  cia  mutant  mine  marvel comic  superhero  based on comic book  superhuman  historical fiction  nuclear war  cuban missile crisis  world war iii  1960s,en, Ingenious Film Partners  Ingenious Media  Twentieth Century Fox Film Corporation  Donners' Company  Dune Entertainment  Dune Entertainment III  Marvel Entertainment  Bad Hat Harry Productions  Big Screen Productions,X-Men: First Class,  James McAvoy  Michael Fassbender  Jennifer Lawrence  Kevin Bacon  Rose Byrne,100
  Action  Adventure  Science Fiction,131634,  revolution  strong woman  dystopia  game of death  3d  based on young adult novel,en, Studio Babelsberg  Lionsgate  Color Force,The Hunger Games: Mockingjay - Part 2,  Jennifer Lawrence  Josh Hutcherson  Liam Hemsworth  Woody Harrelson  Elizabeth Banks,101
  Fantasy  Adventure  Action  Comedy  Drama,27022,  witch  fire  wolf  fountain  magic  book  castle  water  apprentice  training  merlin  love  mission  sorcerer  dragon  aftercreditsstinger  apprendista  morgana,en, Walt Disney Pictures  Jerry Bruckheimer Films  Saturn Films  Broken Road Productions  Junction Entertainment,The Sorcerer's Apprentice,  Nicolas Cage  Jay Baruchel  Monica Bellucci  Alfred Molina  Teresa Palmer,102
  Adventure  Action  Drama  Thriller,503,  new year's eve  fire  drowning  cataclysm  loss of father  atlantic ocean  ball  self-abandonment  shipwreck  giant wave  blackout  ship  daughter  single  escape  capsized ship,en, Virtual Studios  Next Entertainment  Warner Bros.  Irwin Allen Productions  Radiant Productions  Synthesis Entertainment,Poseidon,  Kurt Russell  Richard Dreyfuss  Josh Lucas  Jacinda Barrett  Emmy Rossum,103
  Fantasy,241259,  based on novel  clock  queen  sequel  alice in wonderland  dark fantasy  mad hatter  3d,en, Walt Disney Pictures  Team Todd  Tim Burton Productions  Roth Films  Legend3D,Alice Through the Looking Glass,  Johnny Depp  Mia Wasikowska  Anne Hathaway  Helena Bonham Carter  Alan Rickman,104
  Fantasy  Adventure  Animation  Comedy  Family,810,  ambush  sadness  stage  liberation of prisoners  island  traitor  shipwreck  prince  ship  donkey  kingdom  theatre play  transformation  conciliation  tricks  heir to the throne  assault  boarding school  coup d'etat  teacher  best friend  dragon  cowardliness  pregnancy  capture  duringcreditsstinger,en, DreamWorks SKG  DreamWorks Animation,Shrek the Third,  Mike Myers  Eddie Murphy  Cameron Diaz  Julie Andrews  Antonio Banderas,105
  Action  Adventure  Fantasy,68735,  video game  elves  orcs  magic  chase  based on comic book  sorcerer  fictional war  based on video game  wizard  fictional language  muscles  orc  sword and sorcery,en, Universal Pictures  Atlas Entertainment  Legendary Pictures  Blizzard Entertainment,Warcraft,  Paula Patton  Travis Fimmel  Ben Foster  Robert Kazinsky  Dominic Cooper,106
  Science Fiction  Action  Thriller  Adventure,87101,  saving the world  artificial intelligence  cyborg  killer robot  future  time travel  dystopia  sequel  fiction  duringcreditsstinger  3d,en, Paramount Pictures  Annapurna Pictures  Skydance Media,Terminator Genisys,  Arnold Schwarzenegger  Jason Clarke  Emilia Clarke  Jai Courtney  J.K. Simmons,107
  Adventure  Family  Fantasy,10140,  based on novel  magic  good vs evil  king  narnia  fantasy world  knife held to throat  snowing  quest,en, Dune Entertainment  Fox 2000 Pictures  Walden Media,The Chronicles of Narnia: The Voyage of the Dawn Treader,  Skandar Keynes  Georgie Henley  Simon Pegg  Gary Sweet  Arthur Angel,108
  History  Romance  War,676,  nurse  patriotism  hawaii  world war ii  pilot  pearl harbor  u.s. air force  airplane  war  army  love  pin-up,en, Jerry Bruckheimer Films  Touchstone Pictures,Pearl Harbor,  Ben Affleck  Josh Hartnett  Kate Beckinsale  Cuba Gooding Jr.  Jon Voight,109
  Adventure  Science Fiction  Action,1858,  destroy  transformation  alien  based on toy  transformers  robot  duringcreditsstinger  teenage hero,en, Paramount Pictures  DreamWorks SKG  Amblin Entertainment  Di Bonaventura Pictures  Platinum Dunes  thinkfilm  SprocketHeads  Hasbro Studios  Revolution Sun Studios,Transformers,  Shia LaBeouf  Josh Duhamel  Megan Fox  Rachael Taylor  Tyrese Gibson,110
  War  History  Action  Adventure  Drama  Romance,1966,  aristotle  egypt  greece  persia  elephant  campaign  alexander the great  homosexuality  gay relationship  ancient world,en, France 3 Cin\u00e9ma  Intermedia Films  Path\u00e9 Renn Productions  Egmond Film & Television  Warner Bros.  Pacifica Film  IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG  WR Universal Group,Alexander,  Colin Farrell  Angelina Jolie  Val Kilmer  Jared Leto  Jonathan Rhys Meyers,111
  Adventure  Fantasy  Family  Mystery,675,  prophecy  witch  loss of lover  magic  cutting the cord  child hero  dying and death  broom  sorcerer's apprentice  school of witchcraft  black magic  death of a friend  sorcery  occultism,en, Warner Bros.  Heyday Films,Harry Potter and the Order of the Phoenix,  Daniel Radcliffe  Rupert Grint  Emma Watson  Michael Gambon  Ralph Fiennes,112
  Adventure  Fantasy  Family,674,  magic  dying and death  broom  sorcerer's apprentice  school of witchcraft  chosen one  black magic  boarding school  vision  tournament  teenager  wizard  teenage hero  based on young adult novel,en, Patalex IV Productions Limited  Warner Bros.  Heyday Films,Harry Potter and the Goblet of Fire,  Daniel Radcliffe  Rupert Grint  Emma Watson  Ralph Fiennes  Michael Gambon,113
  Fantasy  Action,8960,  flying  alcohol  love of one's life  forbidden love  lovers  affection  advertising expert  alcoholism  invulnerability  superhero  pokies  duringcreditsstinger,en, Columbia Pictures  Weed Road Pictures  Forward Pass  Relativity Media  Overbrook Entertainment  Blue Light  GH Three,Hancock,  Will Smith  Charlize Theron  Jason Bateman  Jae Head  Eddie Marsan,114
  Drama  Horror  Action  Thriller  Science Fiction,6479,  saving the world  lost civilisation  post-apocalyptic  dystopia  matter of life and death  alone  helplessness  virus  pandemic,en, Village Roadshow Pictures  Original Film  Weed Road Pictures  Warner Bros.  Heyday Films  Overbrook Entertainment,I Am Legend,  Will Smith  Alice Braga  Charlie Tahan  Salli Richardson-Whitfield  Willow Smith,115
  Adventure  Comedy  Family  Fantasy,118,  london england  father son relationship  chocolate  factory worker  based on novel  parents kids relationship  candy  overweight child  grandfather grandson relationship  teacher,en, Village Roadshow Pictures  The Zanuck Company  Warner Bros.  Tim Burton Productions  Plan B Entertainment  Theobald Film Productions,Charlie and the Chocolate Factory,  Johnny Depp  Freddie Highmore  David Kelly  AnnaSophia Robb  Julia Winter,116
  Animation  Comedy  Family  Fantasy,2062,  paris  brother brother relationship  expensive restaurant  river  cook  mouse  confidence  roof  window  leaving one's family  work  restaurant critic  kitchen  spice  court  cookbook  family  chef  rat,en, Walt Disney Pictures  Pixar Animation Studios,Ratatouille,  Patton Oswalt  Ian Holm  Lou Romano  Brian Dennehy  Peter Sohn,117
  Action  Crime  Drama,272,  himalaya  martial arts  dc comics  crime fighter  secret identity  undercover  hero  loss of father  society  gotham city  vigilante  superhero  based on comic book  rivalry  tragic hero  ninja  good vs evil  crime  super powers  haunted by the past  evil doctor  escapade  master villain  fighting crime  unfulfillment  love and romance  unfulfilled love,en, DC Comics  Legendary Pictures  Warner Bros.  DC Entertainment  Syncopy  Patalex III Productions Limited,Batman Begins,  Christian Bale  Michael Caine  Liam Neeson  Katie Holmes  Gary Oldman,118
  Family  Animation,10527,  africa  jealousy  dance  hunger  lion  zoo  hippopotamus  chimp  penguin  volcano  madagascar  airplane  zebra  sequel  shark  imax  duringcreditsstinger,en, DreamWorks Animation,Madagascar: Escape 2 Africa,  Ben Stiller  Jada Pinkett Smith  David Schwimmer  Chris Rock  Cedric the Entertainer,119
  Adventure  Fantasy  Action  Comedy  Family,18360,  museum  theodore roosevelt  duringcreditsstinger  amelia earhart  smithsonian,en, Twentieth Century Fox Film Corporation  1492 Pictures  Dune Entertainment  21 Laps Entertainment  Museum Canada Productions  Moving Picture Company (MPC),Night at the Museum: Battle of the Smithsonian,  Ben Stiller  Amy Adams  Owen Wilson  Hank Azaria  Robin Williams,120
  Adventure  Action  Thriller  Science Fiction,2080,  corruption  mutant  boxer  army  marvel comic  superhero  aftercreditsstinger  duringcreditsstinger,en, Ingenious Film Partners  Twentieth Century Fox Film Corporation  Donners' Company  Dune Entertainment  Seed Productions  Bad Hat Harry Productions  Big Screen Productions  Marvel Enterprises,X-Men Origins: Wolverine,  Hugh Jackman  Liev Schreiber  Danny Huston  Lynn Collins  Ryan Reynolds,121
  Adventure  Action  Thriller  Science Fiction,605,  saving the world  artificial intelligence  man vs machine  flying  philosophy  fortune teller  kung fu  underground world  killer robot  temple  subway  dream  sun  hero  fight  sunlight  computer virus  key  future  precognition  super computer  machine town  ying yang  dying and death  virtual reality  dystopia  computer  faith  world religion  truth  rescue  mission  cyberpunk  woman director  yin yang  gnosticism,en, Village Roadshow Pictures  NPV Entertainment  Silver Pictures  Warner Bros.,The Matrix Revolutions,  Keanu Reeves  Laurence Fishburne  Carrie-Anne Moss  Hugo Weaving  Mary Alice,122
  Animation  Adventure  Family,109445,  queen  musical  princess  betrayal  snowman  animation  reindeer  curse  snow  troll  mountain climber  aftercreditsstinger  woman director  3d,en, Walt Disney Pictures  Walt Disney Animation Studios,Frozen,  Kristen Bell  Idina Menzel  Jonathan Groff  Josh Gad  Santino Fontana,123
